brand,city,title,desc,image_count,created_at,price
Samsung,Karaj,"['A3', '2015']","['گوش', 'حده', 'نو', 'کلا', '2', 'هفتس', 'خریدمش', 'تشکر', 'سایت', 'دیوار']",1,Tuesday 12PM,593534.0022788579
Apple,Qom,"['اپل', '5s', '67', 'گیگ', 'تمیز']","['گوش', 'تمیز', 'قیمت', 'مقطوع', 'میباشد', 'لطفا', 'تقاضای', 'تخفیف', 'کرد#کن']",2,Saturday 04AM,798408.7451602264
Apple,Shiraz,"['اقساط', '75', 'ماهه', 'پرداخت']","['اقساط', '75', 'ماهه', 'پرداخت']",0,Sunday 03PM,939313.9413487492
Sony,Qom,"['سون', 'مدل', 'acro', 's', 'گوش', 'هواوی', 'y', '300']","['گوش', 'سون', 'مدل', 'acro', 's', 'دوربین', '12', 'فیلمبرداری', 'HD', '4', '3', 'اینچ', 'خروج', 'HDMI', 'سفید', 'تعمیر', '270', 'هزار', 'گوش', 'هواوی', 'مدل', 'y', '300', 'دوربین', '5', 'تعمیر', 'تمیز', '160', 'هزار', 'تومان']",2,Thursday 06AM,139438.04667105424
HTC,Tehran,"['گوش', 'موبایل', 'htc', 'desire', '610', 'جهت', 'معاوضه']","['معاوضه', 'ایفون', '4', 'گوش', 'سالم', 'سالم', '4g', 'ایراد', 'کارتن', 'وشارژر', 'وفندزفری', 'آیفون', '4معاوضه', 'میکنم', 'صورت', 'لزوم', 'سر', 'میدم']",0,Monday 08PM,303929.6968692239
Samsung,Isfahan,"['Apple', '6s']","['گوش', 'اپل', '6s', 'نو', '128', 'گیگ', 'پلمپ', 'کارتن', 'شد#شو', 'قصد', 'فروش', 'داشت#دار', 'گوش', 'دیگه', 'ای', 'معاوضه', 'نمیشه', 'تشکر', 'دیوار']",1,Saturday 04PM,1023920.7811754468
HTC,Tehran,"['HTC', 'one', '801', 'e']","['64', 'گیگ', 'حافظه', 'اندروید', '5', 'خط', 'خش', 'نداره', 'نو', 'گوشيه', 'خوبیه', 'خواست#خواه', 'زنگ', 'زد#زن', 'اس', 'اس', 'بدین', 'جعبه', 'هنزفري', 'قاب', 'شارژر', 'داره']",2,Tuesday 08AM,738267.2193201561
Samsung,Ahvaz,"['s6', 'edge']","['معاوضه', 'گوش']",0,Wednesday 12PM,1302317.2302122936
Samsung,Ahvaz,"['گوش', 'سامسونگ', '7262']","['سالم', 'خطو', 'خش', 'دوربین', 'عقب', '5', 'سیمکارته', 'دوربین', 'جلو', 'نداره', 'یه', 'قاب', 'داره', 'واتساپ', 'جوابگو', '#هست']",1,Wednesday 06PM,292925.626747664
HTC,Tehran,"['htc', 'one', 'e9', 'plos', 'حتما', 'بخون']","['نو', '#هست', 'گوش', 'تاچ', 'یه', 'مقدار', 'مشکل', 'داره', 'پشت', 'پشیمون', 'شد#شو', 'درست', 'همبنجوری', 'میفروشم', '100', 'هزینه', 'داره', 'نونو', '#هست', 'گوش', 'گلد', '#هست', 'فروش', 'ترین', 'پیشنهاد', 'معاوضه', 'داشت#دار', 'اس', 'بدید', 'تلگرام', '#هست']",0,Thursday 12PM,745908.0801820928
Huawei,Tehran,"['گوش', 'هواوی', 'G', '700', 'U', '10']","['گوش', 'هواوی', 'g', '700', 'سری', 'u', '10', 'شرط', 'سالم', 'کارتن', 'لوازم', 'قیمت', 'فوری', 'گوش', 'واقعا', 'سالمه']",2,Thursday 01PM,323712.43438042223
Samsung,Tehran,"['گوش', 'سامسونگ']","['گوش', 'درحد', 'کار']",1,Friday 08PM,458999.48349818157
Samsung,Isfahan,"['گوش', '3250', 'عتیقه']","['گوش', 'سالم', 'تمیز', 'فابریک', 'همرا', 'کارتن', 'شارژر', 'کابل', 'اتصال', 'مموری', 'فابریک', 'یاعلی']",4,Monday 05PM,298476.4692535478
Apple,Tehran,"['ایفون', '6s', '64', 'G', 'مشک']","['قیمت', 'میدم', 'بخاطر', 'دوربین', 'پشت', 'دوربین', 'خرابه', 'دوربین', 'جلو', 'کار', 'میکنه', 'خط', 'خشه', 'هنزفری', 'شد#شو', 'قیمت', 'اس', 'ام', 'اس', 'پیشنهاد', 'بدین']",1,Wednesday 09AM,2001094.0337384616
Sony,Tehran,"['گوش', 'سون', 'z2']","['سالم', 'خط', 'خش', 'جز', 'دلیل', 'بامپر', 'بقیه', 'چیزاش', 'سالم', 'مشتری', 'واقعی', 'میام', 'تماس', 'تلگرام']",2,Thursday 09PM,435678.8792129025
HTC,Shiraz,"['گوش', 'موبایل', 'htc']","['گوش', 'سالم', '#هست', 'بقیه', 'مشخصات', 'زنگ', 'زد#زن']",2,Friday 01PM,297344.02948256896
Sony,Tehran,"['گوش', 'سون', 'زد#زن', 'خراب']","['فروش', 'گوش', 'زد#زن', 'هارد', 'سوخته', 'بقیه', 'قطعات', 'نو', 'قیمت', 'NUM']",3,Saturday 05PM,440618.93612494087
Apple,Tehran,"['iphone', '6']","['گوش', 'آی', 'کلود', 'تمامه', 'قطعات', 'سالمه', 'lcd', 'شکسته', 'باطری', 'دوربین', 'فر', 'دور', 'اکبند', 'درد', 'میخوره', 'قطعاتشو', 'بریزه', 'گوش']",2,Tuesday 11AM,1133317.443639058
Samsung,Tehran,"['سامسونگ', 'اس', '7', 'ادج', '2', 'سیم', 'مشک']","['سامسونگ', 'اس', '7', 'ادج', 'مشک', '2', 'سیم', '40', 'روز', 'کارکرد', 'گارانتی', 'معاوضه', 'داشت#دار', 'فروش', 'کاغذ', 'خرید', 'موجود', 'میباشد', '40', 'روز', 'خریدار', 'کوچک', 'خط', 'خش']",1,Tuesday 05PM,2147490.2573691197
Samsung,Qom,"['سامسونگ', 'اس', '6', 'ادج']","['باسلام', 'گوش', 'تمیز', 'تعویض', 'فروش', 'مشتری', 'واقعی', 'تماس', 'بگیره']",0,Tuesday 09PM,981456.9240996537
Samsung,Karaj,"['ایفون', '6s', 'plus', '64', 'اکبند']","['سلام', 'گوش', 'کمتر', 'یه', 'هفتس', 'خرید#خر', 'عکسا', 'توجه', 'کنین', 'لوازم', 'پلمپ', 'کارخونس', 'گوش', 'یه', 'نقطه', 'ریز', 'نداره', 'اصلا', 'استفاده', 'شد#شو', 'گلس', 'یه', 'قاب', '90', 'تومنی', 'براش', 'گرفت#گیر', 'اونارو', 'تقدیم', 'میکنم', 'خواهشا', 'قیمت', 'گوش', 'کارکرده', 'ندینبازم', 'میگ', 'گوش', 'پلمپ', 'حساب', 'میشه', 'واین', 'دلال', 'ومغازه', 'تماس', 'نگیره', 'خلاصه', 'گوش', 'گوش', 'پلمپ', 'مغازه', 'فرق', 'نداره']",3,Monday 04AM,1718962.3471908073
Apple,Tehran,"['5s', '32', 'G', 'Ll', 'A', 'black']","['درحد', 'خط', 'خش', 'ضربه', 'تعویض', 'موتور', 'ویو']",1,Tuesday 10AM,1063080.0473995118
Samsung,Shiraz,"['گوش', 'سامسونگ', '3600', 'iعالی']","['سلام', 'باکارتون', 'وشارژر', 'سالم', 'وباطری', 'نوبه', 'خریدارواقعی', 'تخفیف', 'میشود', '95000', 'تومان']",3,Thursday 09AM,275726.35366603034
Apple,Tehran,"['گوش', 'iphone', '6s']","['تمیز', 'قیمت', 'توافق']",2,Tuesday 01PM,1866817.8411910387
Lenovo,Karaj,"['جی', '730']","['گوش', 'تمیز', 'سالم', 'یه', 'مقدار', 'دیر', 'شارژ', 'میشه', 'مشتری', 'میام']",2,Thursday 06AM,271427.6128401274
Nokia,Tehran,"['نوکیا', 'مدل', '3699']","['عددگوشی', 'نوکیا', 'سالم', 'قیمت', 'لطفا', 'اعلام']",3,Friday 09PM,251542.02232137177
Samsung,Tehran,"['سامسونگ', 'A3در']","['گوش', 'سالم', 'دوهفته', 'خرید#خر', 'خطو', 'خش', 'گلد', 'جلومشکی', 'NUMبا', 'اپل', 'فایو', 'اس', '32', 'معاوضه', 'میکنم']",0,Saturday 12PM,1154491.3511796787
Apple,Ahvaz,"['6', '64', 'g']","['گوش', 'ایفون', '6', 'قسمت', 'بالا', 'تاج', 'شکستگی', 'جزئی', 'داره', 'blacklist', 'انگلیسه', 'شارژر', 'کارتن', 'کابل', 'نداره', 'تماس', 'whatsapp']",2,Saturday 12PM,1540648.1976203888
Apple,Tehran,"['آیفون', '5حافظه', '16']","['گوش', 'آیفون', 'اصل', 'فایو', '83', 'درحد', 'دست', 'خودم', 'تمیزه', 'تعمیر', 'شد#شو', 'بهمراه', 'جعبه', 'کلیه', 'متعلقات', 'لطفا', 'تماس', 'گرفت#گیر', 'اس', 'ام', 'اس', 'پاسخگو', 'نمیباشم']",2,Monday 04PM,921986.4818354135
Samsung,Shiraz,"['سامسونگS4', 'mini', 'duel', 'sim']","['دوسال', 'کارکرد', 'تمیز', 'تعمیر', 'سیمکارته', 'کارتن', 'شارژر', 'هندزفری', 'اصل']",2,Saturday 05PM,214403.7965540384
Huawei,Tehran,"['جشنواره', 'هواوی', 'p8', 'lite', '16', 'Gb']","['گوش', 'نو', 'کارتن', 'شد#شو', 'تحویل', 'میگردد', 'رنگ', 'گلد', 'گارانتی', '18', 'ماهه', 'هواوی', 'قیمت', 'NUMتومان', '20', 'تومن', 'زیره', 'قیمت', 'دیجی', 'کالا', 'آخره', 'تابستان', 'مهلت', 'باقیست']",0,Wednesday 01AM,630307.8370626603
Apple,Isfahan,"['Iphone', '5C', 'نو']","['83', 'گیگ', 'تمیز', 'ضربه', 'نخورده', 'تعمیر', 'شد#شو', 'تضمین', 'قیمت', '349', 'تخفیف', 'داره']",4,Tuesday 06PM,1039430.8831164831
ZTE,Isfahan,"['برد#بر', 'G', 'Five']","['موبایل', 'قیمت', '130', 'هزار', 'تومان', '400', 'هزار', 'تومان', 'گارانتی', 'یکساله', '72', 'ساعت', 'وارانتی', 'برد#بر', 'G', 'five', 'موبایل', 'ها', 'فلش', 'اندروید', '4', '4', '#هست', 'بالا', 'اندروید', '6', 'میباشد', 'قیمت', 'گوش', '560', 'هزار', 'تومان', 'میباشد']",1,Tuesday 11PM,361053.67326175375
Apple,Tehran,"['ایفون', 'فایو', 'اس', '83', 'گیگ', 'عدد']","['دوعدد', 'ایفون', 'فایو', 'اس', '83', 'گیگ', 'گلد', 'سفید', 'فوری', 'فروشی', 'گوش', 'ها', 'رفرش', 'نیستن']",2,Thursday 04PM,790683.9848061083
Samsung,Mashhad,"['اس4', 'مینی']","['باسلام', 'یه', 'اس4مینی', 'داشت#دار', 'تاچ', 'شکسته', 'سالم', 'خط', 'خشه', 'تاچ', 'شکسته', 'اگه', 'یه', 'گوش', 'اوراق', 'مدل', 'داره', 'میخرم', 'منصفانه', 'بخواد', 'میفروشمش', 'چیز', 'سالمه', 'تمیز', '#هست', 'رنگ', 'قهوهای']",0,Friday 12AM,437409.7245704556
Apple,Shiraz,"['معاوضه', 'گرند', 'پرایم', 'فایو', 'اس']","['گوش', 'سالمه', 'درجه', 'نوبی', 'خط', 'خش', 'فایو', 'اس', '32', '64', 'معاوضه', 'میکنم']",0,Saturday 07AM,1082704.5953173905
Nokia,Shiraz,"['Lumia', '830', '_4G']","['تمیز', 'شیک', 'نو', '#هست']",2,Sunday 02PM,359381.852359649
Apple,Mashhad,"['فروش', 'باورنکردنی', 'ایفون', 'بخون']","['سلام', 'خسته', 'بود#باش', '6عدد', 'ایفون', 'مدل', 'های', 'Iphone', '5s', 'silver', '64', 'g', 'Iphone', '5s', 'gold', '64', 'g', 'Iphone', 'SE', 'gold', '64', 'g', 'ایفون', '5sها', 'مشابه', 'اک', 'بند', 'ببینی', 'متوجه', 'میش', 'ایفون', 'SEفقط3روز', 'کار', 'معاوضه', 'اصلا', 'نمیشه', 'عکس', 'تلگرام', 'تماس', 'گرفت#گیر', 'باتشکر', 'دیوار']",0,Monday 10AM,1285441.583724633
Samsung,Isfahan,"['گوش', 'موبایل', 'J', 'NUM']","['اکانت', 'کل', 'اف', 'کلنز', '85', '55', 'اکانت', 'کل', 'رویال', '9', 'درحد', 'نو']",2,Tuesday 05PM,561174.7458256311
HTC,Ahvaz,"['فروش', 'معاوضه', 'HTC']","['فروش', 'معاوضه', 'گوش', 'HTC', 'دیزایر', '616', 'دوسیمکارت', 'درحدآک', 'صفحه', '5', 'اینچ', 'آندروید', '4', '2', '2', 'یو', '1', '400', 'چهارهسته', 'ای', 'دوربین', '8', 'HD', 'جلو', '2', 'فلش', 'LED', 'حافظه', 'داخل', '4', 'همراه', 'کارتن', 'کلیه', 'وسایل', 'جلد', 'ضد', 'ضربه', 'قیمت', 'فروش', '370', 'معاوضه', 'اپل', '4s', 'سامسونگ', 'هوآوی', 'درحدآک', 'قیمت', 'گوش']",4,Tuesday 08PM,389766.79907238315
Apple,Tehran,['ایفون6s'],"['خطو', 'خش', 'گلس', 'ورو', 'رزگلد', '64', 'گیگ']",2,Tuesday 01PM,1782500.8680795617
